Departamento,Estado_Físico_de_Producción,Año,Área_cosechada_(ha),Producción_(t)
Choco,paddy verde,2018.0,588.1923076923077,1199.5
Choco,panela,2018.0,147.58823529411765,443.29411764705884
Choco,tuberculo fresco,2018.0,156.1184210526316,1431.1052631578948
Cordoba,aceite crudo,2018.0,395.2,1492.0
Cordoba,fibra seca,2018.0,170.0,580.0
Cordoba,fruto fresco,2018.0,327.6224489795918,4376.540816326531
Cordoba,grano seco,2018.0,810.9122807017544,2113.2280701754385
Cordoba,hortaliza fresca,2018.0,28.0,205.95833333333334
Cordoba,latex seco,2018.0,741.6666666666666,736.0
Cordoba,leguminosa fresca,2018.0,5.0,19.0
Cordoba,paddy verde,2018.0,567.2702702702703,1418.4054054054054
Cordoba,panela,2018.0,163.6,1118.0
Cordoba,tuberculo fresco,2018.0,478.5657894736842,5719.9473684210525
Cundinamarca,aceite crudo,2018.0,1798.0,6409.333333333333
Cundinamarca,cafe verde equivalente,2018.0,421.5507246376812,472.18840579710144
Cundinamarca,flor fresca,2018.0,61.94444444444444,1289.111111111111
Cundinamarca,follaje fresco,2018.0,10.75,49.0
Cundinamarca,forraje fresco,2018.0,133.5,3926.6666666666665
Cundinamarca,fruto fresco,2018.0,104.9771167048055,1060.1807780320366
Cundinamarca,grano seco,2018.0,95.7469387755102,178.78775510204082
Cundinamarca,hoja fresca,2018.0,38.53125,321.84375
Cundinamarca,hongo fresco,2018.0,1.0,4.0
Cundinamarca,hortaliza fresca,2018.0,43.47738693467337,1058.502512562814
Cundinamarca,latex seco,2018.0,36.44444444444444,37.666666666666664
Cundinamarca,leguminosa fresca,2018.0,79.52380952380952,828.4761904761905
Cundinamarca,paddy verde,2018.0,262.6666666666667,1340.6666666666667
Cundinamarca,panela,2018.0,809.62,4217.8
Cundinamarca,semilla,2018.0,390.0,1153.0
Cundinamarca,tuberculo fresco,2018.0,255.35632183908046,5971.83908045977
Guainia,fruto fresco,2018.0,75.66666666666667,682.2222222222222
Guainia,grano seco,2018.0,61.25,33.0
Guainia,hortaliza fresca,2018.0,9.0,9.0
Guainia,latex seco,2018.0,10.0,15.0
Guainia,tuberculo fresco,2018.0,271.1666666666667,2711.6666666666665
Guaviare,fruto fresco,2018.0,537.6363636363636,7001.818181818182
Guaviare,grano seco,2018.0,816.75,1083.5
Guaviare,latex seco,2018.0,172.0,292.5
Guaviare,paddy verde,2018.0,691.4,2239.2
Guaviare,panela,2018.0,324.25,1945.5
Guaviare,tuberculo fresco,2018.0,387.5,5037.5
Huila,cafe verde equivalente,2018.0,3485.7714285714287,3890.3142857142857
Huila,fruto fresco,2018.0,76.33273703041145,509.38998211091234
Huila,grano seco,2018.0,173.39772727272728,290.78409090909093
Huila,hoja seca,2018.0,60.0,152.66666666666666
Huila,hortaliza fresca,2018.0,15.971223021582734,164.25179856115108
Huila,leguminosa fresca,2018.0,16.863636363636363,100.86363636363636
Huila,paddy verde,2018.0,954.1176470588235,6822.235294117647
Huila,panela,2018.0,227.63888888888889,1637.5277777777778
Huila,semilla,2018.0,49.666666666666664,142.16666666666666
Huila,tuberculo fresco,2018.0,51.51948051948052,375.038961038961
La guajira,aceite crudo,2018.0,290.85714285714283,1097.857142857143
La guajira,cafe verde equivalente,2018.0,481.1,299.1
La guajira,fibra seca,2018.0,51.8,218.2
La guajira,fruto fresco,2018.0,97.58227848101266,1858.746835443038
La guajira,grano seco,2018.0,246.12121212121212,435.09090909090907
La guajira,hortaliza fresca,2018.0,38.42424242424242,228.06060606060606
La guajira,paddy verde,2018.0,254.4,1505.2
La guajira,panela,2018.0,26.0,156.0
La guajira,tuberculo fresco,2018.0,152.96875,1768.84375
Magdalena,aceite crudo,2018.0,3216.076923076923,10584.307692307691
Magdalena,cafe verde equivalente,2018.0,4353.5,2706.5
Magdalena,fruto fresco,2018.0,305.9761904761905,6410.630952380952
Magdalena,grano seco,2018.0,431.0327868852459,455.91803278688525
Magdalena,hortaliza fresca,2018.0,63.108108108108105,464.9189189189189
Magdalena,paddy verde,2018.0,279.3333333333333,1505.3333333333333
Magdalena,tuberculo fresco,2018.0,721.8181818181819,5499.818181818182
Meta,aceite crudo,2018.0,8878.7,36161.8
Meta,cafe verde equivalente,2018.0,306.6666666666667,430.8888888888889
Meta,caña para molienda,2018.0,27134.0,2315889.0
Meta,forraje fresco,2018.0,45.0,1575.0
Meta,fruto fresco,2018.0,291.1456953642384,6058.940397350993
Meta,grano seco,2018.0,1677.608695652174,6159.507246376812
Meta,hoja fresca,2018.0,1.0,8.0
Meta,hortaliza fresca,2018.0,60.25,803.9166666666666
Meta,latex seco,2018.0,181.93333333333334,263.0
